[-21.358980178833, -9.27478694915771, 2.88522815704346]::(245.0, 85.0, 155.0, 206.0)::(63.0, 12.0)->(0, 0)
[-21.1928749084473, -9.72931289672852, 2.91625022888184]::(249.0, 91.0, 146.0, 194.0)::(63.0, 12.0)->(0, 0)
[-21.456485748291, -9.65076732635498, 2.9108989238739]::(246.0, 88.0, 156.0, 208.0)::(63.0, 12.0)->(0, 0)
[-21.2857036590576, -9.66830062866211, 2.8567841053009]::(246.0, 88.0, 156.0, 208.0)::(66.0, 12.0)->(0, 0)
[-21.1058654785156, -9.43559169769287, 2.79426598548889]::(246.0, 88.0, 156.0, 208.0)::(66.0, 12.0)->(0, 0)
[-22.461706161499, -9.67831039428711, 3.00386118888855]::(246.0, 88.0, 156.0, 208.0)::(63.0, 12.0)->(0, 0)
[-21.6906185150146, -9.32515811920166, 2.56135058403015]::(246.0, 88.0, 156.0, 208.0)::(66.0, 12.0)->(0, 0)
[-21.580810546875, -9.25433254241943, 2.65710973739624]::(246.0, 88.0, 156.0, 208.0)::(63.0, 12.0)->(0, 0)
[-21.9730434417725, -9.53644943237305, 3.06295990943909]::(246.0, 88.0, 156.0, 208.0)::(66.0, 12.0)->(0, 0)
[-21.3359699249268, -9.19716739654541, 2.91019153594971]::(246.0, 88.0, 156.0, 208.0)::(66.0, 12.0)->(0, 0)
[-21.3857860565186, -9.78979778289795, 2.67520666122437]::(252.0, 87.0, 152.0, 202.0)::(77.0, 11.0)->(1, 0)
[-22.5270881652832, -9.41324996948242, 2.64455199241638]::(252.0, 87.0, 152.0, 202.0)::(77.0, 11.0)->(1, 0)
[-22.6239395141602, -9.74903964996338, 3.01814198493958]::(252.0, 87.0, 152.0, 202.0)::(77.0, 11.0)->(1, 0)
[-21.7764587402344, -9.51068878173828, 2.64051938056946]::(247.0, 78.0, 165.0, 220.0)::(77.0, 11.0)->(1, 0)
[-21.8139400482178, -9.87211322784424, 2.67958903312683]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-22.3669052124023, -9.5147647857666, 2.47664737701416]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-22.2833385467529, -9.53988456726074, 2.52898788452148]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-22.0023593902588, -9.76554203033447, 2.62207889556885]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-22.3343658447266, -9.62655162811279, 2.73227763175964]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-21.6104393005371, -9.48527717590332, 2.35777592658997]::(249.0, 83.0, 155.0, 206.0)::(80.0, 11.0)->(1, 0)
[-21.7140140533447, -9.81510066986084, 2.35169053077698]::(251.0, 83.0, 154.0, 205.0)::(97.0, 11.0)->(2, 0)
[-21.6847362518311, -10.1450796127319, 2.47477531433105]::(251.0, 83.0, 154.0, 205.0)::(97.0, 11.0)->(2, 0)
[-22.9786128997803, -9.83162212371826, 2.71886086463928]::(246.0, 75.0, 165.0, 220.0)::(97.0, 11.0)->(2, 0)
[-21.690450668335, -10.0612802505493, 2.37519574165344]::(251.0, 79.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-22.5225982666016, -10.3567924499512, 2.8857696056366]::(251.0, 79.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-22.1574077606201, -9.55694484710693, 2.40586972236633]::(251.0, 79.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-22.3703155517578, -9.52445125579834, 2.21638154983521]::(251.0, 79.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-22.1253261566162, -10.1975917816162, 2.43730688095093]::(251.0, 79.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-20.9638786315918, -9.86040210723877, 2.42309427261353]::(255.0, 86.0, 146.0, 194.0)::(97.0, 11.0)->(2, 0)
[-23.0404014587402, -10.0048522949219, 3.04595804214478]::(252.0, 84.0, 156.0, 208.0)::(97.0, 11.0)->(2, 0)
[-22.84250831604, -9.81193828582764, 2.2682523727417]::(246.0, 76.0, 168.0, 224.0)::(119.0, 12.0)->(3, 0)
[-22.9396858215332, -10.0789222717285, 2.26926922798157]::(246.0, 76.0, 168.0, 224.0)::(119.0, 12.0)->(3, 0)
[-21.9506072998047, -10.2813587188721, 2.21048355102539]::(246.0, 76.0, 168.0, 224.0)::(119.0, 12.0)->(3, 0)
[-21.4709987640381, -9.82142925262451, 2.08233904838562]::(246.0, 76.0, 168.0, 224.0)::(119.0, 12.0)->(3, 0)
[-22.6658744812012, -10.0687208175659, 2.31604981422424]::(250.0, 80.0, 159.0, 212.0)::(119.0, 12.0)->(3, 0)
[-21.9002876281738, -10.0642013549805, 1.9746425151825]::(250.0, 80.0, 159.0, 212.0)::(119.0, 12.0)->(3, 0)
