[-20.9965763092041, 22.6756610870361, -3.88916301727295]::(234.0, 72.0, 160.0, 213.0)::(58.0, 12.0)->(0, 0)
[-21.1691780090332, 22.8604526519775, -3.77045965194702]::(234.0, 72.0, 160.0, 213.0)::(62.0, 12.0)->(0, 0)
[-21.5914039611816, 23.0170078277588, -3.7004075050354]::(237.0, 72.0, 152.0, 202.0)::(62.0, 12.0)->(0, 0)
[-20.6007232666016, 23.5325012207031, -3.50592923164368]::(237.0, 72.0, 152.0, 202.0)::(62.0, 12.0)->(0, 0)
[-21.0031414031982, 23.0245742797852, -3.51449155807495]::(237.0, 72.0, 152.0, 202.0)::(62.0, 12.0)->(0, 0)
[-20.8398151397705, 23.870153427124, -3.71492457389832]::(237.0, 72.0, 152.0, 202.0)::(62.0, 12.0)->(0, 0)
[-20.5379505157471, 23.7957878112793, -3.57699084281921]::(237.0, 72.0, 152.0, 202.0)::(58.0, 12.0)->(0, 0)
[-20.5360774993896, 23.5999526977539, -3.45779609680176]::(237.0, 72.0, 152.0, 202.0)::(58.0, 12.0)->(0, 0)
[-20.2075862884521, 22.6028633117676, -3.324383020401]::(237.0, 72.0, 152.0, 202.0)::(58.0, 12.0)->(0, 0)
[-20.863353729248, 22.5953273773193, -3.55205488204956]::(237.0, 72.0, 152.0, 202.0)::(58.0, 12.0)->(0, 0)
[-21.5023670196533, 20.7601928710938, -2.96231627464294]::(230.0, 74.0, 156.0, 208.0)::(72.0, 11.0)->(1, 0)
[-20.6163864135742, 20.7715473175049, -2.64234495162964]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-21.5563850402832, 20.8345317840576, -2.69364333152771]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-21.3658027648926, 21.4667797088623, -2.95610952377319]::(230.0, 74.0, 156.0, 208.0)::(72.0, 11.0)->(1, 0)
[-21.1562671661377, 21.0358123779297, -2.7923629283905]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-21.3043155670166, 22.0008106231689, -2.87504291534424]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-20.9658699035645, 20.9770030975342, -2.86569237709045]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-21.4218215942383, 22.153190612793, -3.08695363998413]::(230.0, 74.0, 156.0, 208.0)::(79.0, 11.0)->(1, 0)
[-20.7469749450684, 20.6426601409912, -2.63115692138672]::(230.0, 74.0, 156.0, 208.0)::(75.0, 11.0)->(1, 0)
[-20.693826675415, 21.6018962860107, -2.79287624359131]::(230.0, 74.0, 156.0, 208.0)::(82.0, 11.0)->(1, 0)
[-22.2295436859131, 21.3340644836426, -3.43524050712585]::(233.0, 77.0, 158.0, 210.0)::(86.0, 13.0)->(2, 0)
[-22.373498916626, 21.3594951629639, -3.38531446456909]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-21.6948547363281, 20.6566314697266, -2.94923257827759]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-22.174617767334, 21.21266746521, -3.1727123260498]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-21.7227401733398, 21.7198314666748, -3.05790257453918]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-22.1247158050537, 21.2884349822998, -3.35222387313843]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-21.1279430389404, 21.2804737091064, -3.04627799987793]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-21.9754028320312, 21.3667793273926, -3.252117395401]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-21.8280582427979, 21.2778301239014, -3.14873075485229]::(233.0, 77.0, 158.0, 210.0)::(90.0, 13.0)->(2, 0)
[-22.3114013671875, 21.4031257629395, -3.34516191482544]::(233.0, 77.0, 158.0, 210.0)::(86.0, 13.0)->(2, 0)
