[-19.9244842529297, -21.7771320343018, 7.39050483703613]::(257.0, 86.0, 149.0, 198.0)::(80.0, 11.0)->(0, 0)
[-18.8632640838623, -21.7254962921143, 7.15722751617432]::(257.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.3771305084229, -21.4998416900635, 7.18884181976318]::(257.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.8785591125488, -21.3193664550781, 7.23974800109863]::(257.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.2825222015381, -22.057243347168, 7.00948667526245]::(256.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.3039054870605, -21.9791831970215, 7.10808277130127]::(256.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.6998271942139, -21.4764709472656, 7.35101509094238]::(256.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-18.8704814910889, -21.8018074035645, 7.08382272720337]::(256.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-18.9302501678467, -22.1688690185547, 6.85177421569824]::(257.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-18.4735164642334, -20.8090953826904, 6.70062208175659]::(257.0, 86.0, 149.0, 198.0)::(77.0, 11.0)->(0, 0)
[-19.2980003356934, -18.8055095672607, 5.1500940322876]::(247.0, 81.0, 149.0, 200.0)::(97.0, 11.0)->(1, 0)
[-19.5073852539062, -20.638111114502, 5.75770711898804]::(247.0, 81.0, 149.0, 200.0)::(97.0, 11.0)->(1, 0)
[-18.9180564880371, -19.0454559326172, 4.84988069534302]::(249.0, 89.0, 143.0, 190.0)::(97.0, 11.0)->(1, 0)
[-18.2938098907471, -18.8100414276123, 4.85079526901245]::(250.0, 92.0, 141.0, 188.0)::(97.0, 11.0)->(1, 0)
[-18.4021282196045, -19.2703399658203, 5.08205413818359]::(250.0, 92.0, 141.0, 188.0)::(97.0, 11.0)->(1, 0)
[-17.9839000701904, -18.5035228729248, 4.68011140823364]::(250.0, 92.0, 142.0, 188.0)::(100.0, 11.0)->(1, 0)
