[-22.4489917755127, -1.27759146690369, 1.13213133811951]::(237.0, 53.0, 154.0, 205.0)::(64.0, 9.0)->(0, 0)
[-21.7396068572998, -1.51287841796875, 0.99615079164505]::(237.0, 53.0, 154.0, 205.0)::(61.0, 9.0)->(0, 0)
[-22.0954723358154, -1.92906546592712, 1.35732972621918]::(237.0, 53.0, 154.0, 205.0)::(61.0, 9.0)->(0, 0)
[-22.3905735015869, -1.51926445960999, 0.99394428730011]::(237.0, 53.0, 154.0, 205.0)::(61.0, 9.0)->(0, 0)
[-22.2253341674805, -0.946330487728119, 0.985365688800812]::(243.0, 60.0, 144.0, 192.0)::(61.0, 9.0)->(0, 0)
[-21.6761817932129, -0.856819629669189, 1.13204681873322]::(243.0, 60.0, 144.0, 192.0)::(61.0, 9.0)->(0, 0)
[-21.7749042510986, -1.67870187759399, 1.0710461139679]::(243.0, 60.0, 144.0, 192.0)::(61.0, 9.0)->(0, 0)
[-22.4988765716553, -0.652103781700134, 1.08187472820282]::(243.0, 60.0, 144.0, 192.0)::(61.0, 9.0)->(0, 0)
[-21.9664916992188, -1.41168320178986, 0.99873673915863]::(243.0, 60.0, 144.0, 192.0)::(61.0, 9.0)->(0, 0)
[-22.5954570770264, -1.31732523441315, 0.789669632911682]::(243.0, 60.0, 144.0, 192.0)::(64.0, 9.0)->(0, 0)
[-23.5929946899414, -1.90026521682739, 1.04338383674622]::(243.0, 57.0, 143.0, 190.0)::(75.0, 10.0)->(1, 0)
[-23.5652523040771, -1.43516755104065, 0.901905059814453]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-24.0252094268799, -1.72623407840729, 0.97545313835144]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-23.9899768829346, -1.48640286922455, 0.949557483196259]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-24.0692138671875, -1.90261793136597, 1.14932131767273]::(243.0, 57.0, 143.0, 190.0)::(75.0, 10.0)->(1, 0)
[-24.2751998901367, -1.84635996818542, 0.966733753681183]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-24.1631813049316, -1.98113071918488, 1.22537863254547]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-23.3656921386719, -1.3833349943161, 0.805054247379303]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-23.8687553405762, -1.64291334152222, 1.14520144462585]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-23.5022354125977, -1.74862349033356, 0.997875154018402]::(243.0, 57.0, 143.0, 190.0)::(71.0, 10.0)->(1, 0)
[-23.8456478118896, -2.37215828895569, 1.07536649703979]::(240.0, 50.0, 153.0, 204.0)::(87.0, 12.0)->(2, 0)
[-23.9464111328125, -2.25282335281372, 1.25313496589661]::(240.0, 50.0, 153.0, 204.0)::(87.0, 12.0)->(2, 0)
[-23.9433727264404, -2.09943246841431, 1.32245802879333]::(240.0, 50.0, 153.0, 204.0)::(90.0, 12.0)->(2, 0)
[-23.190860748291, -2.0372416973114, 1.29373276233673]::(240.0, 50.0, 153.0, 204.0)::(87.0, 12.0)->(2, 0)
[-23.8032817840576, -2.21524477005005, 1.15153336524963]::(240.0, 50.0, 153.0, 204.0)::(93.0, 12.0)->(2, 0)
[-23.4055156707764, -1.90385437011719, 1.10744285583496]::(240.0, 50.0, 153.0, 204.0)::(90.0, 12.0)->(2, 0)
[-24.2299385070801, -2.14970731735229, 1.23589944839478]::(240.0, 50.0, 153.0, 204.0)::(90.0, 12.0)->(2, 0)
[-23.3587970733643, -2.14969944953918, 1.34060621261597]::(242.0, 54.0, 143.0, 190.0)::(96.0, 12.0)->(2, 0)
[-23.9348964691162, -2.05652832984924, 1.15543305873871]::(242.0, 54.0, 143.0, 190.0)::(93.0, 12.0)->(2, 0)
[-23.5794849395752, -1.97529089450836, 1.21648812294006]::(242.0, 54.0, 143.0, 190.0)::(87.0, 12.0)->(2, 0)
[-23.8116645812988, -2.19141960144043, 0.719625413417816]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.4098949432373, -2.09707736968994, 0.806488335132599]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.3747253417969, -2.42549848556519, 1.02387022972107]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.0933094024658, -2.22511720657349, 0.658307313919067]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-23.8858051300049, -2.04860281944275, 0.799328446388245]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-23.975456237793, -1.98775601387024, 0.786938726902008]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.4617404937744, -2.00045108795166, 0.95743203163147]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.1363563537598, -3.08434796333313, 0.972697913646698]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.2726135253906, -2.1945526599884, 0.860719323158264]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-24.2751159667969, -2.76986360549927, 0.973875939846039]::(240.0, 55.0, 151.0, 201.0)::(121.0, 10.0)->(3, 0)
[-22.4772262573242, -2.63752007484436, 0.540790796279907]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-22.7912044525146, -1.65801310539246, 0.586486876010895]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-23.2680435180664, -1.91557776927948, 0.714243412017822]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-22.8895664215088, -2.43098592758179, 0.683347821235657]::(241.0, 51.0, 150.0, 200.0)::(128.0, 11.0)->(4, 0)
[-23.244909286499, -2.13942861557007, 0.778943061828613]::(241.0, 51.0, 150.0, 200.0)::(128.0, 11.0)->(4, 0)
[-22.9547595977783, -1.98960697650909, 0.70527321100235]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-22.9519805908203, -1.91038382053375, 0.653834164142609]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-23.035135269165, -2.35666608810425, 0.805845499038696]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
[-23.1039562225342, -1.91686832904816, 0.806495010852814]::(241.0, 51.0, 150.0, 200.0)::(128.0, 11.0)->(4, 0)
[-22.7671508789062, -2.30682826042175, 0.488491714000702]::(241.0, 51.0, 150.0, 200.0)::(125.0, 11.0)->(4, 0)
