[-16.1886138916016, -11.3728904724121, 2.96874070167542]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.9715385437012, -10.7007837295532, 2.83023285865784]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.5996341705322, -10.8650684356689, 2.74867558479309]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.7518901824951, -10.3202466964722, 2.79565763473511]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.8450965881348, -10.9633150100708, 2.86335563659668]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-16.6833381652832, -11.4155054092407, 2.58113026618958]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.6751251220703, -10.8415079116821, 2.763028383255]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.4465827941895, -10.4092044830322, 2.5017147064209]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.1895866394043, -11.1070737838745, 2.60648012161255]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-16.8324851989746, -11.6949014663696, 2.81105923652649]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-17.2015953063965, -10.9704608917236, 3.00121116638184]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-16.9425830841064, -11.2236347198486, 2.8497531414032]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-17.1337070465088, -10.9741773605347, 2.89985084533691]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-17.1777248382568, -10.8341178894043, 2.98862385749817]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-16.3138046264648, -10.9152383804321, 2.71687889099121]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-15.9179935455322, -10.8798036575317, 2.49244117736816]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.8832855224609, -10.1895132064819, 2.62912130355835]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.8583488464355, -10.7762432098389, 2.69306778907776]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.1516876220703, -10.5550727844238, 2.64702916145325]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.6902122497559, -10.9197454452515, 2.74610352516174]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.7477035522461, -11.0541372299194, 2.76663088798523]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.7028388977051, -10.5295991897583, 2.56435441970825]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.7590942382812, -10.5725212097168, 2.62745237350464]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.9794788360596, -10.8520374298096, 2.86047601699829]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.1436977386475, -10.5172595977783, 2.83672785758972]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.1064224243164, -10.1738452911377, 2.70763492584229]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.1968002319336, -10.5974369049072, 2.75784587860107]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.8225593566895, -10.6585741043091, 2.68642592430115]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.8195724487305, -11.1089696884155, 2.83119583129883]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.291332244873, -11.0251379013062, 2.88157391548157]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.2061920166016, -10.5631809234619, 2.80546140670776]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.2903175354004, -10.5380802154541, 2.85015392303467]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.2102718353271, -11.0330791473389, 2.86869645118713]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.539249420166, -10.1656475067139, 2.62320423126221]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.1439476013184, -11.2123556137085, 2.76420092582703]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.9218330383301, -10.7290802001953, 2.69671511650085]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.4783954620361, -10.736234664917, 2.81721687316895]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-17.129732131958, -10.5440073013306, 2.59710359573364]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-17.0362396240234, -10.5010662078857, 2.53374028205872]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-16.34375, -11.086742401123, 2.84302258491516]::(250.0, 80.0, 143.0, 190.0)::(85.0, 10.0)->(0, 0)
[-17.4520015716553, -10.812837600708, 2.8906364440918]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.822998046875, -11.2247734069824, 3.04514575004578]::(250.0, 80.0, 143.0, 190.0)::(89.0, 10.0)->(0, 0)
[-16.9572200775146, -11.0604839324951, 2.71567630767822]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(0, 0)
[-16.1641826629639, -10.7978239059448, 2.06516408920288]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-16.684757232666, -11.0017824172974, 2.08483695983887]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.7054100036621, -10.8386211395264, 2.24736094474792]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.6062774658203, -11.1944541931152, 2.08511638641357]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.671516418457, -11.4063568115234, 2.11839985847473]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-17.0341625213623, -10.3544006347656, 2.40660858154297]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.7368965148926, -10.7980422973633, 2.18717312812805]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.6337127685547, -9.79058933258057, 2.0589382648468]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-16.580150604248, -11.1134166717529, 2.34884548187256]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-15.9736013412476, -10.2893304824829, 2.20801639556885]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
