[-15.156289100647, 20.4550666809082, 2.6151704788208]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.4992408752441, 20.5978832244873, 2.74290060997009]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.3654069900513, 20.5839042663574, 2.71729135513306]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.3348112106323, 20.8734817504883, 2.79296374320984]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-14.694899559021, 19.8121604919434, 2.98714661598206]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.8630971908569, 19.9796371459961, 2.95283627510071]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.6522054672241, 20.5482616424561, 2.68638110160828]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.5930624008179, 20.2612133026123, 2.80750060081482]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-15.1604194641113, 19.9089012145996, 2.78132581710815]::(232.0, 68.0, 188.0, 250.0)::(48.0, 13.0)->(0, 0)
[-16.054141998291, 20.4259357452393, 2.59569549560547]::(232.0, 68.0, 188.0, 250.0)::(50.0, 10.0)->(0, 0)
[-16.687572479248, 20.0474605560303, 1.72968590259552]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-17.3620624542236, 19.3079433441162, 1.88673877716064]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-17.5988368988037, 19.7413806915283, 1.86867320537567]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-16.4536247253418, 19.4270896911621, 1.96402049064636]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-16.9200077056885, 19.8446731567383, 1.59221804141998]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-16.7563972473145, 18.9714241027832, 2.02464556694031]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-16.6529560089111, 19.7050743103027, 1.95657217502594]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-16.6224365234375, 18.7971000671387, 1.90535259246826]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-17.1507530212402, 19.6232681274414, 1.49947237968445]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-17.3243141174316, 18.8212566375732, 1.73591101169586]::(236.0, 68.0, 180.0, 240.0)::(50.0, 10.0)->(1, 0)
[-18.0289173126221, 19.2105445861816, 1.58241200447083]::(235.0, 69.0, 185.0, 246.0)::(65.0, 13.0)->(2, 0)
[-17.4860057830811, 18.7964286804199, 1.65546846389771]::(235.0, 69.0, 185.0, 246.0)::(65.0, 13.0)->(2, 0)
[-17.8191356658936, 18.9711780548096, 1.70774447917938]::(235.0, 69.0, 185.0, 246.0)::(65.0, 13.0)->(2, 0)
[-17.8772563934326, 18.8966693878174, 1.76752758026123]::(235.0, 69.0, 185.0, 246.0)::(63.0, 13.0)->(2, 0)
