[-18.0194187164307, 19.2899265289307, -2.48167538642883]::(243.0, 72.0, 154.0, 205.0)::(51.0, 10.0)->(0, 0)
[-18.68874168396, 19.6200847625732, -2.92426156997681]::(243.0, 72.0, 154.0, 205.0)::(54.0, 10.0)->(0, 0)
[-17.5247344970703, 18.7720260620117, -2.2604660987854]::(242.0, 77.0, 146.0, 194.0)::(54.0, 10.0)->(0, 0)
[-17.3464813232422, 18.8541240692139, -2.23309230804443]::(242.0, 77.0, 146.0, 194.0)::(54.0, 10.0)->(0, 0)
[-17.6983814239502, 18.9532718658447, -2.26946544647217]::(240.0, 71.0, 154.0, 205.0)::(54.0, 10.0)->(0, 0)
[-18.7133598327637, 19.2412071228027, -2.50431632995605]::(240.0, 71.0, 154.0, 205.0)::(54.0, 10.0)->(0, 0)
[-18.4410514831543, 19.2719173431396, -2.51933455467224]::(240.0, 71.0, 154.0, 205.0)::(54.0, 10.0)->(0, 0)
[-19.1381740570068, 18.5853309631348, -2.46826481819153]::(240.0, 71.0, 154.0, 205.0)::(48.0, 10.0)->(0, 0)
[-17.8313694000244, 18.864429473877, -2.45161652565002]::(240.0, 71.0, 154.0, 205.0)::(54.0, 10.0)->(0, 0)
[-18.2669658660889, 19.7476673126221, -2.48135471343994]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.3264560699463, 20.3537940979004, -2.18375563621521]::(242.0, 77.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-17.1669445037842, 19.8181705474854, -2.20492053031921]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.9518890380859, 19.1225280761719, -2.24827766418457]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.474006652832, 19.2701015472412, -2.21108818054199]::(242.0, 77.0, 144.0, 192.0)::(54.0, 10.0)->(0, 0)
[-17.1363391876221, 19.2732601165771, -1.91485595703125]::(242.0, 77.0, 144.0, 192.0)::(54.0, 10.0)->(0, 0)
[-16.9211025238037, 19.28932762146, -2.2306923866272]::(242.0, 77.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-17.258846282959, 18.6923122406006, -2.20561909675598]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.3017826080322, 18.826416015625, -2.07562446594238]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-16.619270324707, 19.0545787811279, -2.09662055969238]::(242.0, 77.0, 144.0, 192.0)::(54.0, 10.0)->(0, 0)
[-17.4631214141846, 19.2343444824219, -2.27249002456665]::(242.0, 77.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.8140907287598, 19.1298637390137, -2.28922295570374]::(242.0, 77.0, 144.0, 192.0)::(54.0, 10.0)->(0, 0)
[-18.0268306732178, 19.773120880127, -2.23063254356384]::(242.0, 77.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-17.8692817687988, 18.7761535644531, -2.27894949913025]::(239.0, 72.0, 153.0, 204.0)::(51.0, 10.0)->(0, 0)
[-17.7837066650391, 19.1591720581055, -2.31281185150146]::(243.0, 78.0, 144.0, 192.0)::(48.0, 10.0)->(0, 0)
[-17.2282218933105, 18.4487056732178, -2.14656805992126]::(243.0, 78.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-18.9483528137207, 18.5313701629639, -2.27706837654114]::(243.0, 78.0, 144.0, 192.0)::(54.0, 10.0)->(0, 0)
[-18.5927925109863, 19.1719608306885, -2.38719296455383]::(243.0, 78.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-18.4476299285889, 18.87473487854, -2.43452262878418]::(243.0, 78.0, 144.0, 192.0)::(51.0, 10.0)->(0, 0)
[-17.9297637939453, 18.3391399383545, -2.01780772209167]::(239.0, 71.0, 155.0, 206.0)::(51.0, 10.0)->(0, 0)
[-18.9146060943604, 19.4747924804688, -2.62316536903381]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-17.5859909057617, 18.9747562408447, -2.09476852416992]::(239.0, 71.0, 155.0, 206.0)::(51.0, 10.0)->(0, 0)
[-17.6145095825195, 19.8947658538818, -2.47863864898682]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-17.5262012481689, 18.0492706298828, -2.30611324310303]::(239.0, 71.0, 155.0, 206.0)::(54.0, 10.0)->(0, 0)
[-18.640417098999, 19.5395908355713, -2.77663516998291]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-18.412260055542, 18.8881053924561, -2.47617387771606]::(239.0, 71.0, 155.0, 206.0)::(51.0, 10.0)->(0, 0)
[-18.0928134918213, 18.3163261413574, -2.12188792228699]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-18.2825527191162, 19.2817897796631, -2.3050799369812]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-17.3252658843994, 19.8138523101807, -1.87007534503937]::(239.0, 71.0, 155.0, 206.0)::(51.0, 10.0)->(0, 0)
[-18.4838256835938, 18.9707050323486, -2.326167345047]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-17.6388111114502, 19.207426071167, -2.22529816627502]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-18.3541831970215, 18.6297760009766, -2.14690971374512]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-18.0381336212158, 19.2276744842529, -1.95878875255585]::(239.0, 71.0, 155.0, 206.0)::(48.0, 10.0)->(0, 0)
[-18.7892684936523, 19.0026664733887, -2.20616936683655]::(239.0, 71.0, 155.0, 206.0)::(54.0, 10.0)->(0, 0)
[-17.3225154876709, 18.842830657959, -2.23499751091003]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-17.5785999298096, 19.0255184173584, -2.17963266372681]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-18.170618057251, 18.7885303497314, -2.29520058631897]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-17.9729614257812, 18.3464622497559, -2.21719121932983]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-18.4825458526611, 18.88161277771, -2.19359087944031]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-18.4123268127441, 19.366886138916, -2.02680730819702]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-18.3816604614258, 19.1229705810547, -2.21045589447021]::(241.0, 77.0, 144.0, 192.0)::(75.0, 11.0)->(1, 0)
[-18.529577255249, 19.4561138153076, -2.32979273796082]::(239.0, 72.0, 155.0, 206.0)::(75.0, 11.0)->(1, 0)
[-17.659782409668, 19.864839553833, -2.37064337730408]::(239.0, 72.0, 155.0, 206.0)::(75.0, 11.0)->(1, 0)
[-18.3614654541016, 18.7635517120361, -2.3792519569397]::(239.0, 72.0, 155.0, 206.0)::(75.0, 11.0)->(1, 0)
[-18.2064971923828, 18.863899230957, -2.51211285591125]::(239.0, 72.0, 155.0, 206.0)::(75.0, 11.0)->(1, 0)
[-19.3331546783447, 18.5917930603027, -2.51898241043091]::(239.0, 72.0, 155.0, 206.0)::(75.0, 11.0)->(1, 0)
[-19.2514820098877, 19.3023262023926, -2.56626200675964]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-19.5369491577148, 18.8453807830811, -2.54830360412598]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9353923797607, 18.4233894348145, -2.30703377723694]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9366931915283, 18.1109962463379, -2.27374672889709]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.7745876312256, 19.3737468719482, -2.50140857696533]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.5095844268799, 18.1744499206543, -2.62991976737976]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.7392997741699, 19.5331020355225, -2.77999925613403]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9717140197754, 18.9429626464844, -2.4501633644104]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-19.9207305908203, 18.5173206329346, -2.74892997741699]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.9288368225098, 18.0802040100098, -2.84400153160095]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.7848262786865, 18.7630729675293, -2.71118760108948]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.2010383605957, 19.466911315918, -2.33737564086914]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.8721141815186, 19.0171546936035, -2.59268260002136]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.7248287200928, 18.6131477355957, -2.45564794540405]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.1092319488525, 19.155366897583, -2.61079812049866]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.9654235839844, 19.7346496582031, -2.66217136383057]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.9437561035156, 19.2314949035645, -2.44298458099365]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.1772499084473, 18.7889099121094, -2.48970365524292]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-19.4877395629883, 19.5856590270996, -2.89243841171265]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.737621307373, 18.5078582763672, -2.41729807853699]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.6548652648926, 18.8302974700928, -2.43567132949829]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.4412212371826, 18.5864009857178, -2.45666074752808]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9033679962158, 19.4008255004883, -2.50199127197266]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.7912979125977, 18.7561931610107, -2.47307848930359]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9617195129395, 19.5158519744873, -2.62880420684814]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-19.2128868103027, 18.7857704162598, -2.76248478889465]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-18.9947929382324, 18.6515216827393, -2.61287140846252]::(239.0, 72.0, 155.0, 206.0)::(78.0, 9.0)->(1, 0)
[-18.5829639434814, 19.429759979248, -2.49923825263977]::(239.0, 72.0, 155.0, 206.0)::(75.0, 9.0)->(1, 0)
[-19.5810031890869, 18.9295349121094, -2.79649758338928]::(243.0, 76.0, 146.0, 194.0)::(78.0, 9.0)->(1, 0)
[-18.8476810455322, 18.9861507415771, -2.63307118415833]::(243.0, 76.0, 146.0, 194.0)::(78.0, 9.0)->(1, 0)
[-18.8405017852783, 18.882345199585, -2.45906829833984]::(243.0, 76.0, 146.0, 194.0)::(72.0, 9.0)->(1, 0)
[-18.5509967803955, 18.9671840667725, -2.47345876693726]::(243.0, 76.0, 146.0, 194.0)::(78.0, 9.0)->(1, 0)
[-19.2337455749512, 19.4167938232422, -2.89175605773926]::(243.0, 76.0, 146.0, 194.0)::(60.0, 11.0)->(1, 0)
[-18.1677494049072, 18.6816062927246, -2.37615585327148]::(243.0, 76.0, 146.0, 194.0)::(69.0, 11.0)->(1, 0)
[-18.4409217834473, 19.645580291748, -2.808917760849]::(241.0, 72.0, 155.0, 206.0)::(66.0, 11.0)->(1, 0)
[-19.7533760070801, 18.3485069274902, -2.85015320777893]::(241.0, 72.0, 155.0, 206.0)::(69.0, 11.0)->(1, 0)
[-18.321475982666, 19.6266059875488, -2.37639880180359]::(241.0, 72.0, 155.0, 206.0)::(69.0, 11.0)->(1, 0)
