[-12.8014259338379, 0.669715285301208, 1.33177328109741]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-12.6468591690063, 2.30226159095764, 1.28424549102783]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-12.229061126709, 2.04814338684082, 1.40914952754974]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-12.5273532867432, 1.38514482975006, 1.55018591880798]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-12.4941072463989, 1.05917251110077, 1.49727404117584]::(268.0, 107.0, 110.0, 146.0)::(62.0, 7.0)->(0, 0)
[-12.4486446380615, 1.50206220149994, 1.33713638782501]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-12.0442504882812, 1.79158580303192, 1.31209373474121]::(268.0, 107.0, 110.0, 146.0)::(54.0, 7.0)->(0, 0)
[-13.1187801361084, 1.58334302902222, 1.33261013031006]::(268.0, 107.0, 110.0, 146.0)::(75.0, 8.0)->(0, 0)
[-12.584451675415, 1.3230311870575, 1.34298098087311]::(268.0, 107.0, 110.0, 146.0)::(75.0, 8.0)->(0, 0)
[-12.5493431091309, 1.09766972064972, 1.28531324863434]::(268.0, 107.0, 110.0, 146.0)::(75.0, 8.0)->(0, 0)
[-13.4894485473633, 1.01615452766418, 1.69071781635284]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.1260366439819, 1.30357944965363, 1.90702784061432]::(268.0, 107.0, 110.0, 146.0)::(83.0, 8.0)->(1, 0)
[-13.6164970397949, 1.61189794540405, 1.69629526138306]::(268.0, 107.0, 110.0, 146.0)::(83.0, 8.0)->(1, 0)
[-13.1873197555542, 1.28554379940033, 1.58238875865936]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.0860242843628, 1.40852856636047, 1.82545304298401]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.3149070739746, 1.52062726020813, 1.61072838306427]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.7081499099731, 1.32469403743744, 1.75378525257111]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.5030765533447, 1.24614930152893, 1.81615054607391]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.2076559066772, 1.6118243932724, 1.82965362071991]::(268.0, 107.0, 110.0, 146.0)::(83.0, 8.0)->(1, 0)
[-13.2338247299194, 0.937241792678833, 1.95250499248505]::(268.0, 107.0, 110.0, 146.0)::(87.0, 8.0)->(1, 0)
[-13.1268472671509, 1.09507191181183, 1.58607149124146]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.263560295105, 1.51652991771698, 1.34282326698303]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.6795310974121, 1.31201612949371, 1.47031259536743]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.6322650909424, 1.01876878738403, 1.63123440742493]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.2221298217773, 1.84920394420624, 1.50480079650879]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-14.1701936721802, 0.831475138664246, 1.76772487163544]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-12.9915189743042, 0.889179170131683, 1.52203452587128]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.5814304351807, 0.776194512844086, 1.606480717659]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.3654165267944, 0.42483925819397, 1.67189288139343]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-13.5705537796021, 0.527932703495026, 1.9155912399292]::(266.0, 104.0, 110.0, 146.0)::(104.0, 8.0)->(2, 0)
[-14.7779359817505, 1.16482973098755, 1.49830889701843]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-14.1537609100342, 1.64520347118378, 1.60670518875122]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-15.0930395126343, 1.19172978401184, 1.68102204799652]::(266.0, 104.0, 110.0, 146.0)::(125.0, 8.0)->(3, 0)
[-14.3622884750366, 0.566110670566559, 1.77750492095947]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-14.2754726409912, 0.708215773105621, 1.52538871765137]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-15.2441987991333, 0.980638444423676, 1.60396039485931]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-14.7233610153198, 0.699186861515045, 1.86003124713898]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-14.3273887634277, 1.10625302791595, 1.61065518856049]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-14.3150701522827, 0.350168853998184, 1.74375867843628]::(266.0, 104.0, 110.0, 146.0)::(120.0, 8.0)->(3, 0)
[-14.6763334274292, 0.219684734940529, 1.88798558712006]::(266.0, 104.0, 110.0, 146.0)::(116.0, 8.0)->(3, 0)
[-15.1964263916016, 0.671191036701202, 1.60907363891602]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.6994752883911, 0.654987215995789, 1.65225303173065]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-15.1254081726074, 0.684177756309509, 1.66364014148712]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.8031139373779, 0.979101002216339, 1.68172335624695]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-15.9650430679321, -0.00585264526307583, 1.8713698387146]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.8907041549683, 0.826031267642975, 1.66150975227356]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.6506519317627, 0.499922424554825, 1.66000056266785]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-15.4153785705566, 0.550983428955078, 1.60943686962128]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.6562948226929, 1.10723721981049, 1.6041522026062]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
[-14.6805868148804, 1.50923526287079, 1.59466028213501]::(266.0, 104.0, 110.0, 146.0)::(117.0, 7.0)->(4, 0)
