[-16.7249889373779, 9.92555332183838, 0.492571890354156]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.5926208496094, 10.1528339385986, 0.563726365566254]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.8784008026123, 10.2018070220947, 0.427754700183868]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.8722305297852, 9.82243537902832, 0.300096690654755]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.8790607452393, 9.25264263153076, 0.428003042936325]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.6491527557373, 10.3743114471436, 0.347095608711243]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.5773258209229, 9.70452880859375, 0.580720007419586]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.9025287628174, 10.472749710083, 0.60051304101944]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.8855495452881, 9.43759822845459, 0.633660912513733]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.840202331543, 9.57248783111572, 0.327558249235153]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.050256729126, 9.48613166809082, 0.374930799007416]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.9470863342285, 9.57813453674316, 0.515033841133118]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.7583675384521, 10.0916738510132, 0.240406259894371]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-16.6399593353271, 9.82455062866211, 0.458684504032135]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.1024589538574, 9.66372871398926, 0.46665832400322]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-17.6089115142822, 10.3097877502441, 0.513799250125885]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
[-18.127103805542, 10.1436500549316, 0.429101556539536]::(238.0, 77.0, 148.0, 197.0)::(48.0, 9.0)->(0, 0)
