[-9.81797409057617, -20.7503414154053, 4.78728437423706]::(233.0, 58.0, 179.0, 238.0)::(73.0, 16.0)->(0, 0)
[-13.0060138702393, -20.3610134124756, 4.88516330718994]::(233.0, 58.0, 178.0, 238.0)::(73.0, 16.0)->(0, 0)
[-13.2866497039795, -20.8741035461426, 5.1085033416748]::(233.0, 58.0, 178.0, 238.0)::(73.0, 16.0)->(0, 0)
[-11.2039442062378, -20.262134552002, 4.58290958404541]::(233.0, 58.0, 179.0, 238.0)::(76.0, 16.0)->(0, 0)
[-12.027925491333, -20.2954273223877, 5.2109260559082]::(233.0, 58.0, 179.0, 238.0)::(73.0, 16.0)->(0, 0)
[-9.96424102783203, -20.4835662841797, 4.84241580963135]::(233.0, 58.0, 178.0, 238.0)::(76.0, 16.0)->(0, 0)
[-10.986255645752, -21.4848899841309, 5.00182676315308]::(233.0, 58.0, 179.0, 238.0)::(73.0, 16.0)->(0, 0)
[-12.6422119140625, -21.4099292755127, 5.15239334106445]::(233.0, 58.0, 178.0, 238.0)::(73.0, 16.0)->(0, 0)
[-8.31681537628174, -20.7379322052002, 4.67457056045532]::(233.0, 58.0, 179.0, 238.0)::(73.0, 16.0)->(0, 0)
[-8.86861991882324, -19.8134460449219, 4.26226854324341]::(233.0, 58.0, 178.0, 238.0)::(73.0, 16.0)->(0, 0)
[-9.87999820709229, -22.3495559692383, 4.71453475952148]::(234.0, 57.0, 179.0, 238.0)::(86.0, 13.0)->(1, 0)
[-9.5263500213623, -21.4925899505615, 4.61739110946655]::(234.0, 57.0, 179.0, 238.0)::(89.0, 13.0)->(1, 0)
[-8.21269130706787, -21.1434383392334, 4.44898557662964]::(234.0, 57.0, 179.0, 238.0)::(89.0, 13.0)->(1, 0)
[-9.19615936279297, -21.5739974975586, 4.87725257873535]::(234.0, 57.0, 179.0, 238.0)::(89.0, 16.0)->(1, 0)
[-9.08974838256836, -21.1361122131348, 4.56451749801636]::(234.0, 57.0, 179.0, 238.0)::(89.0, 16.0)->(1, 0)
[-9.4039888381958, -20.9888248443604, 4.71960544586182]::(234.0, 57.0, 179.0, 238.0)::(89.0, 16.0)->(1, 0)
[-10.6691904067993, -20.8899555206299, 4.61429405212402]::(234.0, 57.0, 179.0, 238.0)::(89.0, 16.0)->(1, 0)
[-11.2710914611816, -20.6578598022461, 4.6638355255127]::(234.0, 57.0, 179.0, 239.0)::(89.0, 16.0)->(1, 0)
[-8.6085090637207, -20.4949245452881, 4.62596988677979]::(234.0, 57.0, 179.0, 239.0)::(86.0, 16.0)->(1, 0)
[-10.7231950759888, -21.334493637085, 4.72187805175781]::(234.0, 57.0, 179.0, 239.0)::(89.0, 16.0)->(1, 0)
[-14.8081846237183, -19.9176921844482, 5.18748092651367]::(222.0, 42.0, 193.0, 257.0)::(102.0, 14.0)->(2, 0)
[-15.3968944549561, -19.8443450927734, 4.96177530288696]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-15.9761934280396, -19.570499420166, 5.46178579330444]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-15.7382297515869, -19.22705078125, 5.22236108779907]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-16.7307147979736, -20.1547946929932, 5.72197771072388]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-14.9888706207275, -21.122838973999, 5.17037773132324]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-15.1576690673828, -19.6587677001953, 5.00320816040039]::(222.0, 42.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-16.2548599243164, -20.5052642822266, 5.76248359680176]::(222.0, 41.0, 193.0, 257.0)::(106.0, 14.0)->(2, 0)
[-15.7520399093628, -20.4470481872559, 5.44657754898071]::(222.0, 41.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-16.7082004547119, -21.0270156860352, 5.6461615562439]::(222.0, 41.0, 193.0, 257.0)::(104.0, 14.0)->(2, 0)
[-15.0172996520996, -20.3428688049316, 4.85573244094849]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-13.9193019866943, -20.8591785430908, 4.73706674575806]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-14.5013456344604, -20.5649528503418, 4.90021944046021]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-15.2948360443115, -20.0355701446533, 5.05401182174683]::(231.0, 49.0, 184.0, 245.0)::(125.0, 15.0)->(3, 0)
[-15.0468521118164, -21.1773281097412, 4.97315168380737]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-16.385425567627, -20.9092979431152, 5.24616670608521]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-14.645959854126, -20.433141708374, 5.10171318054199]::(231.0, 49.0, 184.0, 245.0)::(123.0, 15.0)->(3, 0)
[-14.9157094955444, -20.3012619018555, 4.96880197525024]::(231.0, 49.0, 184.0, 245.0)::(125.0, 15.0)->(3, 0)
[-15.9146785736084, -21.3472442626953, 5.406653881073]::(231.0, 49.0, 184.0, 245.0)::(125.0, 15.0)->(3, 0)
[-16.113395690918, -21.0409851074219, 5.4330940246582]::(231.0, 49.0, 184.0, 245.0)::(125.0, 15.0)->(3, 0)
[-18.6089916229248, -18.5646190643311, 5.98744583129883]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-17.9950103759766, -19.4893589019775, 5.39378547668457]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-18.4772281646729, -19.9995155334473, 6.03164434432983]::(216.0, 47.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-17.8430671691895, -19.2463207244873, 5.84033823013306]::(216.0, 48.0, 198.0, 264.0)::(143.0, 13.0)->(4, 0)
[-17.9404048919678, -18.7247295379639, 5.73820447921753]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-18.1940383911133, -20.8899154663086, 6.15119361877441]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-17.5224132537842, -20.3556346893311, 5.69719314575195]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
[-18.2777690887451, -18.8948192596436, 5.76012706756592]::(216.0, 48.0, 198.0, 264.0)::(145.0, 13.0)->(4, 0)
[-17.7948684692383, -19.0711059570312, 5.46329212188721]::(216.0, 48.0, 198.0, 264.0)::(145.0, 13.0)->(4, 0)
[-18.3131103515625, -19.0826435089111, 5.65747022628784]::(216.0, 48.0, 198.0, 264.0)::(147.0, 13.0)->(4, 0)
