[-18.938138961792, 0.596355020999908, 1.83597278594971]::(244.0, 78.0, 151.0, 201.0)::(51.0, 8.0)->(0, 0)
[-19.4388065338135, 0.502212107181549, 1.77540302276611]::(244.0, 78.0, 151.0, 201.0)::(48.0, 8.0)->(0, 0)
[-19.3086757659912, 0.521630167961121, 1.85514640808105]::(244.0, 78.0, 151.0, 201.0)::(64.0, 8.0)->(0, 0)
[-18.9080410003662, 0.474722117185593, 1.8635915517807]::(244.0, 78.0, 151.0, 201.0)::(67.0, 8.0)->(0, 0)
[-18.0814170837402, 0.522044539451599, 1.86114311218262]::(244.0, 78.0, 151.0, 201.0)::(61.0, 8.0)->(0, 0)
[-18.9530372619629, 0.0287306569516659, 2.05497050285339]::(244.0, 78.0, 151.0, 201.0)::(61.0, 8.0)->(0, 0)
[-18.9787101745605, 0.290928572416306, 1.73957848548889]::(244.0, 78.0, 151.0, 201.0)::(51.0, 8.0)->(0, 0)
[-19.8729400634766, 0.439822047948837, 1.96418380737305]::(244.0, 78.0, 151.0, 201.0)::(64.0, 8.0)->(0, 0)
[-19.5018119812012, 0.95012903213501, 1.6925665140152]::(244.0, 78.0, 151.0, 201.0)::(64.0, 8.0)->(0, 0)
[-18.9553852081299, 0.591172814369202, 1.83333170413971]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-19.5419692993164, 0.61134135723114, 1.98936092853546]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-18.8739986419678, 0.32455313205719, 1.92398047447205]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.39821434021, 0.562411248683929, 1.73726940155029]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-18.6365528106689, 0.180835321545601, 2.08553528785706]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.9502582550049, 0.710074722766876, 1.96127009391785]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.5798625946045, 0.0869187787175179, 1.93796753883362]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-19.3877182006836, 1.35808873176575, 1.62554550170898]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-18.9214916229248, -0.402207106351852, 1.9989161491394]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-18.2627277374268, -0.00322150136344135, 2.2037570476532]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-19.2105655670166, 0.638845205307007, 1.72442591190338]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.4553070068359, -0.136135458946228, 1.77223372459412]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-18.2872123718262, 0.62091863155365, 1.61835169792175]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.5734767913818, -0.372501075267792, 2.06436085700989]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.0512294769287, 0.488211303949356, 1.85250353813171]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.7135334014893, 0.167926833033562, 2.05518484115601]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.1678943634033, 0.0807567164301872, 2.05916857719421]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.3066062927246, 0.373144298791885, 2.01372170448303]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-18.8432846069336, 0.223214983940125, 1.85078358650208]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.265495300293, 0.166268929839134, 1.95198273658752]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.7267665863037, 0.67684143781662, 1.89143633842468]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.2333240509033, 0.026913134381175, 1.96157658100128]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-19.7102355957031, 0.425849884748459, 1.81482338905334]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-18.8320465087891, 0.778910756111145, 1.69379234313965]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.6301670074463, 0.284403890371323, 2.00397419929504]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-18.6604042053223, 0.144614189863205, 1.87144362926483]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.7823276519775, 0.695422828197479, 1.79520082473755]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-17.7952575683594, 0.518983066082001, 1.86837732791901]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.7130107879639, 0.469791561365128, 1.7651801109314]::(244.0, 78.0, 151.0, 201.0)::(60.0, 10.0)->(0, 0)
[-18.5074520111084, 0.28748631477356, 2.05424094200134]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-19.0873737335205, 0.596262633800507, 1.84080493450165]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.1414604187012, -0.658828675746918, 2.20860409736633]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.254674911499, 0.179059326648712, 2.02234077453613]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.1385326385498, 0.163186311721802, 1.9939181804657]::(244.0, 78.0, 151.0, 201.0)::(50.0, 10.0)->(0, 0)
[-18.3354797363281, 0.515627682209015, 1.97854721546173]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.9575786590576, 0.494113773107529, 1.75525295734406]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
[-18.2543544769287, -0.177158609032631, 2.06869196891785]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.0246353149414, 0.484109818935394, 1.87537002563477]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-19.309534072876, 0.850115954875946, 1.90555000305176]::(244.0, 78.0, 151.0, 201.0)::(56.0, 10.0)->(0, 0)
[-18.9117183685303, 0.439308881759644, 1.89059257507324]::(244.0, 78.0, 151.0, 201.0)::(53.0, 10.0)->(0, 0)
