[-18.3781242370605, -9.52695941925049, 2.70443797111511]::(235.0, 58.0, 193.0, 257.0)::(69.0, 12.0)->(0, 0)
[-19.5676956176758, -10.1152334213257, 3.06407785415649]::(235.0, 58.0, 193.0, 257.0)::(66.0, 12.0)->(0, 0)
[-18.5816993713379, -10.254340171814, 2.64245557785034]::(235.0, 58.0, 193.0, 257.0)::(69.0, 12.0)->(0, 0)
[-19.2710781097412, -10.0190935134888, 2.56959223747253]::(235.0, 58.0, 193.0, 257.0)::(69.0, 12.0)->(0, 0)
[-18.9730052947998, -10.3363609313965, 2.73581981658936]::(235.0, 58.0, 193.0, 257.0)::(69.0, 12.0)->(0, 0)
[-19.6535148620605, -10.0347995758057, 2.6983277797699]::(235.0, 58.0, 193.0, 257.0)::(66.0, 12.0)->(0, 0)
[-19.315544128418, -10.1271505355835, 2.72955226898193]::(235.0, 58.0, 193.0, 257.0)::(66.0, 12.0)->(0, 0)
[-18.9449939727783, -9.84860038757324, 2.63454580307007]::(235.0, 58.0, 193.0, 257.0)::(61.0, 12.0)->(0, 0)
[-18.8232250213623, -10.0638866424561, 2.59914946556091]::(235.0, 58.0, 193.0, 257.0)::(61.0, 12.0)->(0, 0)
[-18.3653392791748, -8.91284942626953, 2.52636432647705]::(235.0, 58.0, 193.0, 257.0)::(69.0, 12.0)->(0, 0)
[-18.7357769012451, -9.74429416656494, 2.05125427246094]::(241.0, 65.0, 182.0, 242.0)::(71.0, 12.0)->(0, 0)
[-19.0231533050537, -9.33548450469971, 2.72279977798462]::(229.0, 54.0, 198.0, 264.0)::(61.0, 12.0)->(0, 0)
[-18.7945175170898, -9.56448364257812, 2.74952840805054]::(236.0, 61.0, 185.0, 246.0)::(71.0, 12.0)->(0, 0)
[-19.1955604553223, -9.92483806610107, 2.67448687553406]::(231.0, 56.0, 200.0, 266.0)::(71.0, 12.0)->(0, 0)
[-19.4800434112549, -10.3282852172852, 2.80468511581421]::(231.0, 56.0, 200.0, 266.0)::(71.0, 12.0)->(0, 0)
[-19.0027236938477, -9.65273284912109, 2.56187605857849]::(231.0, 56.0, 200.0, 266.0)::(61.0, 12.0)->(0, 0)
[-18.9799537658691, -9.62216186523438, 2.78047156333923]::(231.0, 56.0, 200.0, 266.0)::(69.0, 12.0)->(0, 0)
[-18.8062992095947, -9.76757431030273, 2.59569096565247]::(231.0, 56.0, 200.0, 266.0)::(69.0, 12.0)->(0, 0)
[-19.1164779663086, -9.77588939666748, 2.64628076553345]::(231.0, 56.0, 200.0, 266.0)::(69.0, 12.0)->(0, 0)
[-19.2447814941406, -9.99761390686035, 3.00977468490601]::(231.0, 56.0, 200.0, 266.0)::(69.0, 12.0)->(0, 0)
[-19.0919227600098, -10.1735792160034, 2.85438466072083]::(238.0, 58.0, 191.0, 254.0)::(61.0, 12.0)->(0, 0)
[-18.8560066223145, -10.2837066650391, 2.7145402431488]::(238.0, 58.0, 191.0, 254.0)::(61.0, 12.0)->(0, 0)
[-18.951042175293, -10.3819246292114, 2.67724132537842]::(238.0, 58.0, 191.0, 254.0)::(61.0, 12.0)->(0, 0)
[-18.4744777679443, -9.87443065643311, 2.72284841537476]::(238.0, 58.0, 191.0, 254.0)::(66.0, 12.0)->(0, 0)
[-18.7880058288574, -10.3010816574097, 2.64032864570618]::(238.0, 58.0, 191.0, 254.0)::(66.0, 12.0)->(0, 0)
[-19.2947864532471, -10.0917501449585, 2.51258945465088]::(238.0, 58.0, 191.0, 254.0)::(69.0, 12.0)->(0, 0)
[-18.6827354431152, -10.4484043121338, 2.54458141326904]::(238.0, 58.0, 191.0, 254.0)::(69.0, 12.0)->(0, 0)
[-19.4037494659424, -10.0628414154053, 2.65653014183044]::(238.0, 58.0, 191.0, 254.0)::(61.0, 12.0)->(0, 0)
[-18.7985858917236, -9.99565982818604, 2.89180564880371]::(238.0, 58.0, 191.0, 254.0)::(64.0, 12.0)->(0, 0)
[-18.9941520690918, -10.1975660324097, 2.80476784706116]::(238.0, 58.0, 191.0, 254.0)::(64.0, 12.0)->(0, 0)
[-19.6848487854004, -10.2265501022339, 2.87569117546082]::(237.0, 64.0, 182.0, 242.0)::(61.0, 12.0)->(0, 0)
[-19.0340461730957, -10.0281000137329, 2.54854011535645]::(237.0, 64.0, 182.0, 242.0)::(61.0, 12.0)->(0, 0)
[-19.7797527313232, -10.1399621963501, 2.50896501541138]::(237.0, 64.0, 182.0, 242.0)::(66.0, 12.0)->(0, 0)
[-19.0921421051025, -9.94146156311035, 2.39509677886963]::(235.0, 56.0, 191.0, 254.0)::(61.0, 12.0)->(0, 0)
[-18.6893939971924, -9.34414958953857, 2.62728261947632]::(235.0, 56.0, 191.0, 254.0)::(69.0, 12.0)->(0, 0)
[-18.9221801757812, -9.8843355178833, 2.86557698249817]::(235.0, 56.0, 191.0, 254.0)::(69.0, 12.0)->(0, 0)
